Polymer,SMILES,pred_Tg_degC,pred_Dk_1GHz,pred_Rad_MGy,loss,desirability_score,meets_Tg,meets_Dk,meets_Rad,rank
Poly_b105dd7b,*c1ccc(-n2c(=O)c3ccc4c(c3)c(=O)c3ccc(cc3-4)c(=O)n(*)c2=O)cc1-c1ccncc1,638.9527383992528,2.3498719554999967,40.131464676568164,0.013959560478188934,0.9649512445215656,False,False,True,1
Polybenzoxazole,COc1ccc(-c2nc3cc(-c4nc5c(Br)cccc5o4)c(-c4ccccc4)c(-c4ccccc4)c3o2)cc1,721.2062209963308,2.4888390681597823,44.19611084352215,0.0,0.9511042106962608,True,True,True,1
Polybenzoxazole,CCc1ccc(OC)c(-c2nc3cc(-c4nc5c(-c6ccncc6)c(-c6ccncc6)c(F)cc5o4)ccc3o2)c1-c1ccccc1,719.0061041837675,2.5902921183543453,43.99680492794653,0.0003913279985719244,0.940958371162107,True,False,True,2
Polybenzoxazole,CCc1c(-c2ccccc2)cc(OC)c(-c2nc3cc(-c4nc5c(-c6ccncc6)c(-c6ccncc6)c(F)cc5o4)ccc3o2)c1-c1ccccc1,718.8835124726554,2.590797991713141,44.086186815745364,0.00039572521435870346,0.9409077533453916,True,False,True,3
Poly_b105dd7b,*c1cc(Cl)c(-n2c(=O)c3ccc4c(c3)c(=O)c3ccc(cc3-4)c(=O)n(*)c2=O)c(-c2ccnc(C(F)(F)F)c2)c1,638.5544878219664,2.6215453336887253,40.15544904610614,0.035523865647841116,0.937783414495601,False,False,True,2
Poly_b105dd7b,*c1cc(Cl)c(-n2c(=O)c3ccc4c(c3)c(=O)c3ccc(cc3-4)c(=O)n(*)c2=O)c(-c2ccnc(-c3ccccc3)c2)c1,638.5544878219664,2.62261896891277,40.167135745586485,0.03563151868345188,0.9376760509731965,False,False,True,3
Polybenzoxazole,COc1cccc(-c2ccccc2)c1-c1nc2cc(-c3nc4c(-c5ccncc5)c(-c5ccncc5)c(F)c(Br)c4o3)ccc2o1,719.0061041837675,2.6247445654587094,44.05149957590529,0.0007469379173511468,0.9375131264516707,True,False,True,4
Polybenzoxazole,COc1cccc(-c2ccccc2)c1-c1nc2cc(-c3nc4c(-c5ccncc5)c(-c5ccncc5)c(F)cc4o3)ccc2o1,718.7594156359162,2.6263820342161073,44.15213423729071,0.0007666760914848629,0.9373493181638237,True,False,True,5
Poly_b105dd7b,*c1cc(-c2ccc(C#N)cc2)c(-n2c(=O)c3ccc4c(c3)c(=O)c3ccc(cc3-4)c(=O)n(*)c2=O)c(N)c1Br,638.5109785778704,2.630660472398246,40.18804759073788,0.036447799694720194,0.9368718466127057,False,False,True,4
Poly_b105dd7b,*c1cc(Cl)c(-n2c(=O)c3ccc4c(c3)c(=O)c3ccc(cc3-4)c(=O)n(*)c2=O)c(-c2ccccc2)c1Br,639.0790674047828,2.631016701807678,40.17924888116358,0.036427992303620975,0.9368369252067201,False,False,True,5
Poly_b105dd7b,*c1cc(-c2ccccc2)c(-n2c(=O)c3ccc4c(c3)c(=O)c3ccc(cc3-4)c(=O)n(*)c2=O)c(N)c1Br,638.7335727902586,2.631016701807678,40.103080478166376,0.0364619914964098,0.9368364995039615,False,False,True,6
Poly_b105dd7b,*c1ccc(-n2c(=O)c3cc4c(cc3N)-c3cc(cc(-c5ccncc5)c3c4=O)c(=O)n(*)c2=O)cc1,639.0292725825104,2.631613840370588,40.15103141189192,0.03649360586653747,0.9367771501767344,False,False,True,7
Poly_b105dd7b,*c1cc(Cl)c(-n2c(=O)c3ccc4c(c3)c(=O)c3ccc(cc3-4)c(=O)n(*)c2=O)c(-c2ccncc2)c1,638.9527383992528,2.632184168321756,40.131464676568164,0.036559177099817326,0.9367200232393897,False,False,True,8
Poly_b105dd7b,*c1cc(Cl)c(-n2c(=O)c3ccc4c(c3)c(=O)c3ccc(cc3-4)c(=O)n(*)c2=O)c(-c2ccncc2)c1N,638.7301441868647,2.632184168321756,40.15103141189192,0.036581105640644436,0.9367197486132313,False,False,True,9
Polybenzoxazole,N#Cc1c(-c2ccccc2)c(F)cc2oc(-c3ccc4oc(-c5cc(-c6ccncc6)c(-c6ccccc6)cc5-c5ccncc5-c5ccncc5)nc4c3)nc12,719.0203228317648,2.642193150293792,44.100180432993895,0.0009705068155426983,0.9357682714986104,True,False,True,6
Polybenzoxazole,N#Cc1c(-c2ccccc2)c(F)cc2oc(-c3ccc4oc(-c5ccc(-c6ccccc6)cc5-c5ccncc5-c5ccncc5)nc4c3)nc12,719.0203228317648,2.643180343046245,44.09499335371054,0.0009840293104723366,0.9356695522233653,True,False,True,7
Polybenzoxazole,COc1cccc(-c2ccccc2)c1-c1nc2cc(-c3nc4cc(-c5ccncc5)c(F)cc4o3)ccc2o1,721.2062209963308,2.6449336941869017,44.23231416616946,0.0010082772341117928,0.9354947480935487,True,False,True,8
Polybenzoxazole,N#Cc1c(-c2ccccc2-c2ccncc2)c(F)c(Br)c2oc(-c3ccc4oc(-c5ccccc5-c5ccncc5)nc4c3)nc12,719.142914542877,2.6482443335699495,44.06713727362172,0.0010548663569087257,0.9351631835685479,True,False,True,9
Polybenzoxazole,N#Cc1c(-c2ccc(-c3ccccc3)c(F)c2)c(F)c(Br)c2oc(-c3ccc4oc(-c5ccccc5-c5ccncc5)nc4c3)nc12,719.142914542877,2.6516430165244875,44.06370539407945,0.001103789014111008,0.934823315273094,True,False,True,10
Polybenzoxazole,N#Cc1c(-c2ccccc2)c(F)cc2oc(-c3ccc4oc(-c5cccc(-c6ccccc6)c5-c5ccncc5)nc4c3)nc12,718.8962259950256,2.655863373710542,44.10973722847658,0.001166082780692742,0.9344012183101778,True,False,True,12
Polybenzoxazole,N#Cc1c(-c2ccccc2)c(F)cc2oc(-c3ccc4oc(-c5ccc(-c6ccccc6)cc5-c5ccncc5)nc4c3)nc12,718.8962259950256,2.655863373710542,44.10973722847658,0.001166082780692742,0.9344012183101778,True,False,True,11
Polybenzoxazole,c1ccc2oc(-c3ccc4oc(-c5cc(-c6ccncc6)ccc5-c5ccncc5)nc4c3)nc2c1,721.2062209963308,2.66107238028007,44.24924776239706,0.001245326961076199,0.9338808794842319,True,False,True,13
Polybenzoxazole,N#Cc1c(-c2cccc(F)c2)c(F)c(Br)c2oc(-c3ccc4oc(-c5ccccc5-c5ccncc5)nc4c3)nc12,721.3430313554402,2.662947824906629,44.19138840381785,0.0012744956948064709,0.9336933674891219,True,False,True,14
Polybenzoxazole,N#Cc1c(-c2ccccc2)c(F)c(Br)c2oc(-c3ccc4oc(-c5cc(Br)ccc5-c5ccncc5)nc4c3)nc12,719.4840765200232,2.664226832545903,44.16040047286815,0.0012945817213468843,0.9335650178734445,True,False,True,15
Polybenzoxazole,N#Cc1c(-c2ccccc2)c(F)c(Br)c2oc(-c3ccc4oc(-c5ccccc5-c5ccncc5)nc4c3)nc12,721.3430313554402,2.664442794112668,44.20866475030211,0.0012979887617079004,0.9335438705685182,True,False,True,16
Polybenzoxazole,N#Cc1c(-c2ccccc2)c(F)cc2oc(-c3ccc4oc(-c5ccccc5-c5ccncc5)nc4c3)nc12,721.3430313554402,2.666901858805908,44.25058517400989,0.0013370990626976264,0.9332979640991941,True,False,True,17
